ticker,quarter_end,as_of,quarter,revenue_usd,revenue_qoq,revenue_yoy,stock_close,stock_ret_63d,stock_vol_63d,sox_close,sox_ret_63d,wsts_3mo,wsts_yoy,ppi_semis,ppi_yoy,gdp_growth_pct,inflation_cpi_pct,revenue_next_usd
NVDA,2011-07-31,2011-08-25,3,1016517000.0,0.05662764191472491,0.25309045275687625,0.2857038676738739,,,336.1673278808594,,74584119.0,-0.03742511293335604,35.5,-0.12128712871287128,2.69519258673525,1.6400434423899,1066180000.0
HPQ,2011-07-31,2011-09-09,3,31189000000.0,-0.014004805260495745,0.014969572716326596,6.460836410522461,,,348.23150634765625,,75312951.0,-0.03625449577958506,35.0,-0.1116751269035533,2.69519258673525,1.6400434423899,32122000000.0
NVDA,2011-10-30,2011-11-22,4,1066180000.0,0.04885604470953275,0.26337817213169146,0.3452254831790924,0.156441562530792,0.035725939761892825,359.4860534667969,0.040411877946231245,77415565.0,-0.03696254330110604,33.6,-0.12271540469973885,2.69519258673525,1.6400434423899,953194000.0
HPQ,2011-10-31,2011-12-14,4,32122000000.0,0.029914392894930808,-0.034737664523108336,7.597558975219727,0.13854484219600627,0.029515349887361583,350.5603942871094,-0.07966619124372532,75657127.0,-0.07579977618751566,32.6,-0.10439560439560436,2.69519258673525,1.6400434423899,30036000000.0
HPQ,2012-01-31,2012-03-12,1,30036000000.0,-0.06493991656808418,-0.0701504550801808,6.958164215087891,-0.1227667334556094,0.01747100593852957,418.3675842285156,0.12782590582252706,68777333.0,-0.01607332735655076,31.2,-0.14049586776859502,1.56440685205419,3.156841568622,30693000000.0
NVDA,2012-01-29,2012-03-13,1,953194000.0,-0.10597272505580668,0.07538335875520086,0.3385865688323974,-0.007382675878607969,0.020165139650603733,427.992919921875,0.13983011381174992,68777333.0,-0.01607332735655076,31.2,-0.14049586776859502,1.56440685205419,3.156841568622,924877000.0
NVDA,2012-04-29,2012-05-23,2,924877000.0,-0.029707488716882446,-0.0386283716148722,0.2847881019115448,-0.21810187803918313,0.01811294484971289,372.14990234375,-0.12324873280385296,72181714.0,0.010207951720843988,31.2,-0.12849162011173176,1.56440685205419,3.156841568622,1044270000.0
HPQ,2012-04-30,2012-06-08,2,30693000000.0,0.021873751498202143,-0.029685128983307996,6.457428455352783,-0.0727352067874023,0.019598767392581044,372.54974365234375,-0.11852903493388234,73191651.0,-0.030447274133179714,31.2,-0.13091922005571033,1.56440685205419,3.156841568622,29669000000.0
NVDA,2012-07-29,2012-08-22,3,1044270000.0,0.12909067908489447,0.02730205200700042,0.3351527452468872,0.1768495347849386,0.02312328545809185,398.9769592285156,0.07208669602171724,72872174.0,0.004014088433185181,30.6,-0.13802816901408443,1.56440685205419,3.156841568622,1204110000.0
HPQ,2012-07-31,2012-09-10,3,29669000000.0,-0.03336265598019095,-0.04873513097566451,5.113733768463135,-0.1796785056153931,0.021194542414104768,394.0693359375,0.07812627978226838,72958007.0,-0.055887129481078324,30.4,-0.13142857142857145,1.56440685205419,3.156841568622,29959000000.0
NVDA,2012-10-28,2012-11-19,4,1204110000.0,0.153063862794105,0.12936839933219524,0.267847329378128,-0.20136524200038108,0.020589245698509093,362.9643859863281,-0.1036678378745618,75711004.0,0.059105862461123815,30.3,-0.0982142857142857,1.56440685205419,3.156841568622,1106902000.0
HPQ,2012-10-31,2012-12-27,4,29959000000.0,0.009774512117024514,-0.06733702758234228,4.158530235290527,-0.15175242302052105,0.029363747086254097,379.5499877929687,0.0009321145076355286,76533618.0,0.0537542549453327,30.2,-0.07361963190184051,1.56440685205419,3.156841568622,28359000000.0
HPQ,2013-01-31,2013-03-11,1,28359000000.0,-0.05340632197336359,-0.05583300039952055,6.268312454223633,0.5448548473131867,0.023949249253275268,435.8500061035156,0.15168074247226904,69685899.0,-0.03824527742729256,30.0,-0.038461538461538436,2.28911339009767,2.06933726526067,27582000000.0
NVDA,2013-01-27,2013-03-12,1,1106902000.0,-0.08073016584863513,0.16125573597819542,0.2953386306762695,0.07175263360191164,0.01427154193313543,437.6700134277344,0.15396039838974973,69685899.0,-0.03824527742729256,30.0,-0.038461538461538436,2.28911339009767,2.06933726526067,954739000.0
NVDA,2013-04-28,2013-05-22,2,954739000.0,-0.13746745421003848,0.032287536612976675,0.3355163633823395,0.1848608690609539,0.014819934981915079,461.6199951171875,0.10894373195379736,70868202.0,-0.011902884593838592,30.2,-0.03205128205128205,2.28911339009767,2.06933726526067,977238000.0
HPQ,2013-04-30,2013-06-06,2,27582000000.0,-0.027398709404421906,-0.10135861597106832,7.228083610534668,0.17042666274218088,0.028856854462120364,464.6600036621094,0.06897030342201549,74075509.0,0.059169594855229324,30.6,-0.019230769230769162,2.28911339009767,2.06933726526067,27226000000.0
NVDA,2013-07-28,2013-08-21,3,977238000.0,0.023565602745881264,-0.06419029561320344,0.3484482169151306,0.0385431381123269,0.012040336409857655,458.5299987792969,-0.006693809563223518,76597071.0,0.08004665396475463,30.8,0.006535947712418277,2.28911339009767,2.06933726526067,1053967000.0
HPQ,2013-07-31,2013-09-09,3,27226000000.0,-0.012906968312667688,-0.08234183828238228,6.747558116912842,-0.08103123914051624,0.0225785818438954,481.4200134277344,0.015718320121197227,77950173.0,0.11395415952465981,30.6,0.00657894736842124,2.28911339009767,2.06933726526067,29131000000.0
NVDA,2013-10-27,2013-11-19,4,1053967000.0,0.07851618541235594,-0.1246920962370548,0.3635199666023254,0.04325391537551093,0.013592570492941545,497.8800048828125,0.08581773538977511,81260717.0,0.05295171211275074,30.3,0.0,2.28911339009767,2.06933726526067,1144218000.0
HPQ,2013-10-31,2013-12-30,4,29131000000.0,0.06996988173069862,-0.027637771621215612,8.51523494720459,0.34434050292671925,0.021728644859723423,531.5700073242188,0.08300230602547942,81567590.0,0.08841199687885726,30.3,0.0033112582781458233,2.28911339009767,2.06933726526067,28154000000.0
HPQ,2014-01-31,2014-03-11,1,28154000000.0,-0.03353815522982395,-0.007228745724461416,9.116983413696287,0.09067807013580742,0.012824414733564627,570.0800170898438,0.10559899868396161,78132633.0,0.2008314190976015,29.5,-0.01666666666666672,2.11783009443471,1.46483265562717,27309000000.0
NVDA,2014-01-26,2014-03-13,1,1144218000.0,0.08562981573426875,0.03371210820831472,0.4195573329925537,0.14525107488235944,0.01519217633765267,565.1400146484375,0.09663520238635681,78132633.0,0.2008314190976015,29.5,-0.01666666666666672,2.11783009443471,1.46483265562717,1102787000.0
NVDA,2014-04-27,2014-05-21,2,1102787000.0,-0.03620900912238756,0.15506646319046347,0.4333692491054535,-0.019875060762997054,0.015027158773647407,581.8099975585938,0.03146828365214138,79007893.0,0.08697570238340391,29.3,-0.02980132450331119,2.11783009443471,1.46483265562717,1102824000.0
