year,region,month,billings_thousand_usd
1989,Asia Pacific,December,511758
1989,Europe,January,711490
1989,Europe,February,756220
1989,Europe,March,869481
1989,Europe,April,770203
1989,Europe,May,715541
1989,Europe,June,809640
1989,Europe,July,640689
1989,Europe,August,635671
1989,Europe,September,846311
1989,Europe,October,733167
1989,Europe,November,710850
1989,Europe,December,741299
1989,Japan,January,1551335
1989,Japan,February,1594165
1989,Japan,March,1641383
1989,Japan,April,1654175
1989,Japan,May,1561323
1989,Japan,June,1624493
1989,Japan,July,1632158
1989,Japan,August,1538493
1989,Japan,September,1581367
1989,Japan,October,1630395
1989,Japan,November,1573962
1989,Japan,December,1562514
1989,Worldwide,January,3826364
1989,Worldwide,February,4005703
1989,Worldwide,March,4416458
1989,Worldwide,April,4153340
1989,Worldwide,May,3998334
1989,Worldwide,June,4333979
1989,Worldwide,July,3895708
1989,Worldwide,August,3824785
1989,Worldwide,September,4283975
1989,Worldwide,October,4019312
1989,Worldwide,November,3964095
1989,Worldwide,December,4040873
1990,Americas,January,1055827
1990,Americas,February,1107641
1990,Americas,March,1326514
1990,Americas,April,1145964
1990,Americas,May,1193839
1990,Americas,June,1317676
1990,Americas,July,1130835
1990,Americas,August,1229168
1990,Americas,September,1335936
1990,Americas,October,1206712
1990,Americas,November,1182091
1990,Americas,December,1213234
1990,Asia Pacific,January,424172
1990,Asia Pacific,February,482574
1990,Asia Pacific,March,570160
1990,Asia Pacific,April,523270
1990,Asia Pacific,May,564258
1990,Asia Pacific,June,616154
1990,Asia Pacific,July,582145
1990,Asia Pacific,August,609515
1990,Asia Pacific,September,669269
1990,Asia Pacific,October,628863
1990,Asia Pacific,November,605038
1990,Asia Pacific,December,636326
1990,Europe,January,700723
1990,Europe,February,743146
1990,Europe,March,900981
1990,Europe,April,744998
1990,Europe,May,772192
1990,Europe,June,891609
1990,Europe,July,738098
1990,Europe,August,727183
1990,Europe,September,912755
1990,Europe,October,819633
1990,Europe,November,808928
1990,Europe,December,838388
1990,Japan,January,1421004
1990,Japan,February,1448870
1990,Japan,March,1472713
1990,Japan,April,1401811
1990,Japan,May,1456389
1990,Japan,June,1617484
1990,Japan,July,1684396
1990,Japan,August,1585911
1990,Japan,September,1825002
1990,Japan,October,1909542
1990,Japan,November,1924936
1990,Japan,December,1815059
1990,Worldwide,January,3601726
1990,Worldwide,February,3782231
1990,Worldwide,March,4270368
1990,Worldwide,April,3816043
1990,Worldwide,May,3986678
1990,Worldwide,June,4442923
1990,Worldwide,July,4135474
1990,Worldwide,August,4151777
1990,Worldwide,September,4742962
1990,Worldwide,October,4564750
1990,Worldwide,November,4520993
1990,Worldwide,December,4503007
1991,Americas,January,1143298
1991,Americas,February,1217353
1991,Americas,March,1426972
1991,Americas,April,1208734
1991,Americas,May,1232198
1991,Americas,June,1390279
1991,Americas,July,1151781
1991,Americas,August,1229369
1991,Americas,September,1480484
1991,Americas,October,1210419
1991,Americas,November,1291194
1991,Americas,December,1394192
1991,Asia Pacific,January,567864
1991,Asia Pacific,February,601440
1991,Asia Pacific,March,689775
1991,Asia Pacific,April,619630
1991,Asia Pacific,May,659335
1991,Asia Pacific,June,761638
1991,Asia Pacific,July,668927
1991,Asia Pacific,August,669731
1991,Asia Pacific,September,773053
1991,Asia Pacific,October,697074
1991,Asia Pacific,November,713730
1991,Asia Pacific,December,759125
1991,Europe,January,807995
1991,Europe,February,874934
1991,Europe,March,997469
1991,Europe,April,806641
1991,Europe,May,816393
1991,Europe,June,952982
1991,Europe,July,699730
1991,Europe,August,725496
1991,Europe,September,977120
1991,Europe,October,802799
1991,Europe,November,828180
1991,Europe,December,825121
1991,Japan,January,1612391
1991,Japan,February,1745898
1991,Japan,March,1787181
1991,Japan,April,1680403
1991,Japan,May,1697557
1991,Japan,June,1804178
1991,Japan,July,1812379
1991,Japan,August,1673650
1991,Japan,September,1854049
1991,Japan,October,1782817
1991,Japan,November,1758915
1991,Japan,December,1725581
1991,Worldwide,January,4131548
1991,Worldwide,February,4439625
1991,Worldwide,March,4901397
1991,Worldwide,April,4315408
1991,Worldwide,May,4405483
1991,Worldwide,June,4909077
1991,Worldwide,July,4332817
1991,Worldwide,August,4298246
1991,Worldwide,September,5084706
1991,Worldwide,October,4493109
