iso3,country,year,gdp_current_usd,gdp_growth_pct,inflation_cpi_pct
CHN,China,1986,301310144927.536,8.9437463904392,
CHN,China,1987,273455156950.673,11.6552658383921,7.23383553065609
CHN,China,1988,312888888888.889,11.2209115803492,18.8118179448753
CHN,China,1989,348380566801.619,4.20785693658392,18.2456383621648
CHN,China,1990,361560229445.507,3.9225195692421,3.05229012075233
CHN,China,1991,384510452961.672,9.37563237902144,3.55668565220452
CHN,China,1992,428502354788.069,14.2976226152779,6.35398134024869
CHN,China,1993,446557291212.148,13.9261028311995,14.6100786356602
CHN,China,1994,566929539493.172,13.0827122987906,24.2569897243361
CHN,China,1995,738190896227.55,11.0154136659719,16.7912268492666
CHN,China,1996,868523936530.083,9.97328781228394,8.3131587270211
CHN,China,1997,967753570434.667,9.29759460595947,2.78646505531882
CHN,China,1998,1037134141760.35,7.92354535108497,-0.773186011549318
CHN,China,1999,1103843203575.64,7.74123827728161,-1.40147268276465
CHN,China,2000,1223754919971.05,8.57357328926101,0.347811226864587
CHN,China,2001,1355036590251.52,8.32404695347056,0.719125609120114
CHN,China,2002,1489821682050.54,9.23604870383861,-0.731970902350244
CHN,China,2003,1683903309843.85,10.1138119025242,1.12760348729637
CHN,China,2004,1984196551300.44,10.1404291872206,3.82463743108159
CHN,China,2005,2317551298052.05,11.4535130030645,1.77641407667571
CHN,China,2006,2791498472804.33,12.6752842281595,1.6494309945586
CHN,China,2007,3604055822571.63,14.1507710506103,4.81676767378834
CHN,China,2008,4667346414521.95,9.66877608164454,5.92525137041092
CHN,China,2009,5189577094997.58,9.40610014336416,-0.728165250932898
CHN,China,2010,6192564874453.29,10.5916903885704,3.17532475269199
CHN,China,2011,7671757207851.29,9.46205248298186,5.55389892257493
CHN,China,2012,8673664713189.24,7.8578201481217,2.61952432645541
CHN,China,2013,9743124247267.24,7.77842954757257,2.62105001748115
CHN,China,2014,10674533168257.4,7.46100735778161,1.92164162788521
CHN,China,2015,11280814787468.9,6.98162255562367,1.43702380935655
CHN,China,2016,11456024084962,6.7736886867727,2.00000182191943
CHN,China,2017,12537559062282.9,6.89123916636191,1.59313600071436
CHN,China,2018,14147765772963.8,6.757806142324,2.07479039965576
CHN,China,2019,14560167101283.4,6.06737806333672,2.89923416358227
CHN,China,2020,14996414166715.1,2.33950385203023,2.41942189457782
CHN,China,2021,18201698719564,8.57038414981781,0.981015135544882
CHN,China,2022,18316765021690.2,3.13385438394069,1.97357555739051
CHN,China,2023,18270356654533.2,5.41600334492955,0.234836828893051
CHN,China,2024,18729668435848,4.95830378788091,0.218128938439177
CHN,China,2025,19498039388042.6,4.95994886240992,0.0595646916565403
DEU,Germany,1986,1050092624515.9,2.28733925852798,-0.129413360854742
