Year,Week,Region,Fregion,BA_NSA,HBA_NSA,WBA_NSA,CBA_NSA,YY_BA_NSA,YY_HBA_NSA,YY_WBA_NSA,YY_CBA_NSA
2007,34,NE,1,8210,4500,2310,2540,-0.61,-1.53,-3.75,0.0
2007,35,NE,1,8520,4790,2440,2730,2.04,1.91,-3.17,1.87
2007,36,NE,1,8240,4540,2330,2560,-0.12,1.11,-0.43,-1.16
2007,37,NE,1,5490,2980,1490,1670,-9.11,-13.62,-17.68,-16.92
2007,38,NE,1,8210,4590,2260,2670,-1.32,-0.22,-5.04,0.0
2007,39,NE,1,10550,5330,2520,3070,24.85,11.97,2.86,13.28
2007,40,NE,1,9480,4710,2190,2670,8.34,-3.88,-15.44,-2.2
2007,41,NE,1,9640,4770,2080,2860,13.01,-1.04,-16.47,4.38
2007,42,NE,1,7350,3560,1560,2060,11.2,-5.32,-21.61,-6.36
2007,43,NE,1,8920,4370,1890,2520,17.99,0.0,-16.37,-1.18
2007,44,NE,1,8930,4500,2010,2530,12.33,-1.53,-16.94,-4.89
2007,45,NE,1,8630,4290,1870,2510,6.41,-7.54,-24.29,-6.69
2007,46,NE,1,8390,4150,1820,2380,33.6,16.9,-3.7,17.82
2007,47,NE,1,7390,3630,1610,2070,-19.5,-29.1,-40.37,-29.83
2007,48,NE,1,6070,2980,1370,1710,-10.07,-20.95,-29.74,-18.57
2007,49,NE,1,7970,4030,1900,2310,-1.73,-14.07,-22.45,-13.48
2007,50,NE,1,8510,4230,1920,2400,5.85,-9.23,-23.51,-10.45
2007,51,NE,1,8180,4120,1900,2300,3.28,-8.04,-21.49,-10.51
2007,52,NE,1,8600,4270,2080,2400,-17.78,-27.87,-34.8,-29.2
2008,1,NE,1,5740,2880,1490,1620,-19.27,-30.43,-35.5,-33.33
2008,2,NE,1,5930,3210,1670,1870,95.07,70.74,54.63,62.61
2008,3,NE,1,10450,5320,2490,3040,-23.16,-34.72,-45.39,-36.27
2008,4,NE,1,10450,5290,2390,2980,17.95,3.73,-13.41,-0.67
2008,5,NE,1,9060,4470,2030,2490,-10.56,-22.8,-34.3,-25.89
2008,6,NE,1,10220,5060,2220,2760,-3.49,-14.67,-31.06,-15.34
2008,7,NE,1,9870,4970,2250,2790,-0.9,-10.45,-22.68,-9.71
2008,8,NE,1,9270,4540,2020,2500,4.51,-7.54,-21.71,-11.35
2008,9,NE,1,8440,4080,1860,2250,6.3,-5.34,-18.06,-4.66
2008,10,NE,1,10170,5000,2200,2640,-7.71,-16.94,-27.39,-20.48
2008,11,NE,1,10130,5090,2270,2790,-9.63,-19.21,-30.37,-23.35
2008,12,NE,1,10030,4920,2180,2760,-1.08,-13.53,-23.78,-16.87
2008,13,NE,1,9870,4860,2060,2790,-0.8,-13.21,-26.95,-13.08
2008,14,NE,1,9730,4800,2140,2640,-4.51,-14.89,-25.69,-18.27
2008,15,NE,1,10110,4910,2170,2660,1.4,-10.89,-24.39,-14.74
2008,16,NE,1,9810,4590,1990,2500,6.86,-9.29,-24.62,-7.75
2008,17,NE,1,9480,4620,1980,2520,-4.05,-13.64,-27.47,-16.83
2008,18,NE,1,8840,4470,1930,2470,-12.65,-20.04,-30.82,-22.33
2008,19,NE,1,9430,4750,2190,2670,-7.55,-17.25,-26.26,-19.58
2008,20,NE,1,9540,4830,2130,2670,2.47,-8.35,-21.69,-11.88
2008,21,NE,1,9440,4670,2060,2580,-1.15,-13.52,-25.09,-17.04
2008,22,NE,1,9150,4550,2020,2530,-4.39,-15.74,-28.37,-19.94
2008,23,NE,1,7290,3650,1600,2040,-0.27,-10.54,-24.88,-14.29
2008,24,NE,1,9060,4450,1990,2480,-6.5,-17.59,-28.67,-19.48
2008,25,NE,1,8230,4080,1820,2330,-10.83,-21.08,-31.06,-20.75
2008,26,NE,1,8420,4220,1820,2430,-2.55,-12.63,-26.61,-15.62
2008,27,NE,1,7260,3600,1650,2020,-16.17,-26.83,-36.05,-29.37
2008,28,NE,1,6820,3470,1570,1980,1.04,-9.16,-19.49,-11.61
2008,29,NE,1,8160,4020,1780,2250,-7.69,-18.13,-31.8,-18.48
2008,30,NE,1,8360,4180,1750,2310,0.12,-9.91,-26.47,-14.13
2008,31,NE,1,8400,4150,1840,2280,7.69,-3.49,-17.49,-7.69
2008,32,NE,1,8320,4100,1740,2270,-11.96,-21.46,-35.07,-22.79
2008,33,NE,1,9720,4490,2080,2270,16.41,-4.47,-12.24,-17.75
2008,34,NE,1,8080,3950,1790,2160,-1.58,-12.22,-22.51,-14.96
2008,35,NE,1,8030,3900,1650,2180,-5.75,-18.58,-32.38,-20.15
2008,36,NE,1,7760,3800,1740,2070,-5.83,-16.3,-25.32,-19.14
2008,37,NE,1,6700,3240,1460,1800,22.04,8.72,-2.01,7.78
2008,38,NE,1,8390,4080,1750,2250,2.19,-11.11,-22.57,-15.73
2008,39,NE,1,8260,4190,1870,2330,-21.71,-21.39,-25.79,-24.1
2008,40,NE,1,8300,4230,1870,2340,-12.45,-10.19,-14.61,-12.36
2008,41,NE,1,7880,3930,1700,2230,-18.26,-17.61,-18.27,-22.03
2008,42,NE,1,7890,3810,1640,2120,7.35,7.02,5.13,2.91
2008,43,NE,1,6700,3350,1440,1850,-24.89,-23.34,-23.81,-26.59
2008,44,NE,1,7940,3960,1740,2180,-11.09,-12.0,-13.43,-13.83
2008,45,NE,1,7590,3820,1610,2100,-12.05,-10.96,-13.9,-16.33
2008,46,NE,1,7450,3700,1660,2040,-11.2,-10.84,-8.79,-14.29
2008,47,NE,1,7110,3410,1490,1940,-3.79,-6.06,-7.45,-6.28
2008,48,NE,1,7940,3900,1700,2130,30.81,30.87,24.09,24.56
2008,49,NE,1,5240,2610,1140,1500,-34.25,-35.24,-40.0,-35.06
2008,50,NE,1,7420,3660,1620,2060,-12.81,-13.48,-15.62,-14.17
2008,51,NE,1,7410,3730,1770,2090,-9.41,-9.47,-6.84,-9.13
2008,52,NE,1,7070,3540,1640,1940,-17.79,-17.1,-21.15,-19.17
2008,53,NE,1,3960,2050,1040,1160,,,,
2009,1,NE,1,5330,2680,1300,1470,-7.14,-6.94,-12.75,-9.26
2009,2,NE,1,9380,4880,2390,2640,58.18,52.02,43.11,41.18
2009,3,NE,1,8840,4450,2090,2450,-15.41,-16.35,-16.06,-19.41
2009,4,NE,1,7710,3860,1760,2100,-26.22,-27.03,-26.36,-29.53
2009,5,NE,1,8820,4210,1880,2260,-2.65,-5.82,-7.39,-9.24
2009,6,NE,1,8770,4300,1910,2350,-14.19,-15.02,-13.96,-14.86
2009,7,NE,1,8570,4080,1810,2270,-13.17,-17.91,-19.56,-18.64
2009,8,NE,1,8060,3850,1700,2130,-13.05,-15.2,-15.84,-14.8
2009,9,NE,1,9300,4470,1950,2450,10.19,9.56,4.84,8.89
2009,10,NE,1,8930,4340,1810,2370,-12.19,-13.2,-17.73,-10.23
2009,11,NE,1,9120,4520,1910,2470,-9.97,-11.2,-15.86,-11.47
