filing_form,filing_date,period_end,duration,market_category,category_key,revenue_usd_millions
10-Q,2022-08-31,"Aug. 01, 2021",3 Months Ended,Professional Visualization,ProfessionalVisualization,519
10-Q,2022-08-31,"Jul. 31, 2022",6 Months Ended,Professional Visualization,ProfessionalVisualization,1118
10-Q,2022-08-31,"Aug. 01, 2021",6 Months Ended,Professional Visualization,ProfessionalVisualization,891
10-Q,2022-08-31,"Jul. 31, 2022",3 Months Ended,Automotive,Automotive,220
10-Q,2022-08-31,"Aug. 01, 2021",3 Months Ended,Automotive,Automotive,152
10-Q,2022-08-31,"Jul. 31, 2022",6 Months Ended,Automotive,Automotive,358
10-Q,2022-08-31,"Aug. 01, 2021",6 Months Ended,Automotive,Automotive,306
10-Q,2022-08-31,"Jul. 31, 2022",3 Months Ended,OEM and Other,OEMAndOther,140
10-Q,2022-08-31,"Aug. 01, 2021",3 Months Ended,OEM and Other,OEMAndOther,409
10-Q,2022-08-31,"Jul. 31, 2022",6 Months Ended,OEM and Other,OEMAndOther,298
10-Q,2022-08-31,"Aug. 01, 2021",6 Months Ended,OEM and Other,OEMAndOther,736
10-Q,2022-11-18,"Oct. 30, 2022",3 Months Ended,Total,Total,5931
10-Q,2022-11-18,"Oct. 31, 2021",3 Months Ended,Total,Total,7103
10-Q,2022-11-18,"Oct. 30, 2022",9 Months Ended,Total,Total,20923
10-Q,2022-11-18,"Oct. 31, 2021",9 Months Ended,Total,Total,19271
10-Q,2022-11-18,"Oct. 30, 2022",3 Months Ended,Data Center,DataCenter,3833
10-Q,2022-11-18,"Oct. 31, 2021",3 Months Ended,Data Center,DataCenter,2936
10-Q,2022-11-18,"Oct. 30, 2022",9 Months Ended,Data Center,DataCenter,11389
10-Q,2022-11-18,"Oct. 31, 2021",9 Months Ended,Data Center,DataCenter,7350
10-Q,2022-11-18,"Oct. 30, 2022",3 Months Ended,Gaming,Gaming,1574
10-Q,2022-11-18,"Oct. 31, 2021",3 Months Ended,Gaming,Gaming,3221
10-Q,2022-11-18,"Oct. 30, 2022",9 Months Ended,Gaming,Gaming,7236
10-Q,2022-11-18,"Oct. 31, 2021",9 Months Ended,Gaming,Gaming,9042
10-Q,2022-11-18,"Oct. 30, 2022",3 Months Ended,Professional Visualization,ProfessionalVisualization,200
10-Q,2022-11-18,"Oct. 31, 2021",3 Months Ended,Professional Visualization,ProfessionalVisualization,577
10-Q,2022-11-18,"Oct. 30, 2022",9 Months Ended,Professional Visualization,ProfessionalVisualization,1318
10-Q,2022-11-18,"Oct. 31, 2021",9 Months Ended,Professional Visualization,ProfessionalVisualization,1468
10-Q,2022-11-18,"Oct. 30, 2022",3 Months Ended,Automotive,Automotive,251
10-Q,2022-11-18,"Oct. 31, 2021",3 Months Ended,Automotive,Automotive,135
10-Q,2022-11-18,"Oct. 30, 2022",9 Months Ended,Automotive,Automotive,609
10-Q,2022-11-18,"Oct. 31, 2021",9 Months Ended,Automotive,Automotive,441
10-Q,2022-11-18,"Oct. 30, 2022",3 Months Ended,OEM and Other,OEMAndOther,73
10-Q,2022-11-18,"Oct. 31, 2021",3 Months Ended,OEM and Other,OEMAndOther,234
10-Q,2022-11-18,"Oct. 30, 2022",9 Months Ended,OEM and Other,OEMAndOther,371
10-Q,2022-11-18,"Oct. 31, 2021",9 Months Ended,OEM and Other,OEMAndOther,970
10-K,2023-02-24,"Jan. 29, 2023",12 Months Ended,Total,Total,26974
10-K,2023-02-24,"Jan. 30, 2022",12 Months Ended,Total,Total,26914
10-K,2023-02-24,"Jan. 31, 2021",12 Months Ended,Total,Total,16675
10-K,2023-02-24,"Jan. 29, 2023",12 Months Ended,Data Center,DataCenter,15005
10-K,2023-02-24,"Jan. 30, 2022",12 Months Ended,Data Center,DataCenter,10613
10-K,2023-02-24,"Jan. 31, 2021",12 Months Ended,Data Center,DataCenter,6696
10-K,2023-02-24,"Jan. 29, 2023",12 Months Ended,Gaming,Gaming,9067
10-K,2023-02-24,"Jan. 30, 2022",12 Months Ended,Gaming,Gaming,12462
10-K,2023-02-24,"Jan. 31, 2021",12 Months Ended,Gaming,Gaming,7759
