filing_form,filing_date,period_end,duration,market_category,category_key,revenue_usd_millions
10-Q,2025-05-28,"Apr. 27, 2025",3 Months Ended,Data Center,DataCenter,39112
10-Q,2025-05-28,"Apr. 28, 2024",3 Months Ended,Data Center,DataCenter,22563
10-Q,2025-05-28,"Apr. 27, 2025",3 Months Ended,Compute,Compute,34155
10-Q,2025-05-28,"Apr. 28, 2024",3 Months Ended,Compute,Compute,19392
10-Q,2025-05-28,"Apr. 27, 2025",3 Months Ended,Networking,Networking,4957
10-Q,2025-05-28,"Apr. 28, 2024",3 Months Ended,Networking,Networking,3171
10-Q,2025-05-28,"Apr. 27, 2025",3 Months Ended,Gaming,Gaming,3763
10-Q,2025-05-28,"Apr. 28, 2024",3 Months Ended,Gaming,Gaming,2647
10-Q,2025-05-28,"Apr. 27, 2025",3 Months Ended,Professional Visualization,ProfessionalVisualization,509
10-Q,2025-05-28,"Apr. 28, 2024",3 Months Ended,Professional Visualization,ProfessionalVisualization,427
10-Q,2025-05-28,"Apr. 27, 2025",3 Months Ended,Automotive,Automotive,567
10-Q,2025-05-28,"Apr. 28, 2024",3 Months Ended,Automotive,Automotive,329
10-Q,2025-05-28,"Apr. 27, 2025",3 Months Ended,OEM and Other,OEMAndOther,111
10-Q,2025-05-28,"Apr. 28, 2024",3 Months Ended,OEM and Other,OEMAndOther,78
10-Q,2025-08-27,"Jul. 27, 2025",3 Months Ended,Total,Total,46743
10-Q,2025-08-27,"Jul. 28, 2024",3 Months Ended,Total,Total,30040
10-Q,2025-08-27,"Jul. 27, 2025",6 Months Ended,Total,Total,90805
10-Q,2025-08-27,"Jul. 28, 2024",6 Months Ended,Total,Total,56084
10-Q,2025-08-27,"Jul. 27, 2025",3 Months Ended,Data Center,DataCenter,41096
10-Q,2025-08-27,"Jul. 28, 2024",3 Months Ended,Data Center,DataCenter,26272
10-Q,2025-08-27,"Jul. 27, 2025",6 Months Ended,Data Center,DataCenter,80208
10-Q,2025-08-27,"Jul. 28, 2024",6 Months Ended,Data Center,DataCenter,48835
10-Q,2025-08-27,"Jul. 27, 2025",3 Months Ended,Compute,Compute,33844
10-Q,2025-08-27,"Jul. 28, 2024",3 Months Ended,Compute,Compute,22604
10-Q,2025-08-27,"Jul. 27, 2025",6 Months Ended,Compute,Compute,67999
10-Q,2025-08-27,"Jul. 28, 2024",6 Months Ended,Compute,Compute,41996
10-Q,2025-08-27,"Jul. 27, 2025",3 Months Ended,Networking,Networking,7252
10-Q,2025-08-27,"Jul. 28, 2024",3 Months Ended,Networking,Networking,3668
10-Q,2025-08-27,"Jul. 27, 2025",6 Months Ended,Networking,Networking,12209
10-Q,2025-08-27,"Jul. 28, 2024",6 Months Ended,Networking,Networking,6839
10-Q,2025-08-27,"Jul. 27, 2025",3 Months Ended,Gaming,Gaming,4287
10-Q,2025-08-27,"Jul. 28, 2024",3 Months Ended,Gaming,Gaming,2880
10-Q,2025-08-27,"Jul. 27, 2025",6 Months Ended,Gaming,Gaming,8050
10-Q,2025-08-27,"Jul. 28, 2024",6 Months Ended,Gaming,Gaming,5527
10-Q,2025-08-27,"Jul. 27, 2025",3 Months Ended,Professional Visualization,ProfessionalVisualization,601
10-Q,2025-08-27,"Jul. 28, 2024",3 Months Ended,Professional Visualization,ProfessionalVisualization,454
10-Q,2025-08-27,"Jul. 27, 2025",6 Months Ended,Professional Visualization,ProfessionalVisualization,1110
10-Q,2025-08-27,"Jul. 28, 2024",6 Months Ended,Professional Visualization,ProfessionalVisualization,881
10-Q,2025-08-27,"Jul. 27, 2025",3 Months Ended,Automotive,Automotive,586
10-Q,2025-08-27,"Jul. 28, 2024",3 Months Ended,Automotive,Automotive,346
10-Q,2025-08-27,"Jul. 27, 2025",6 Months Ended,Automotive,Automotive,1153
10-Q,2025-08-27,"Jul. 28, 2024",6 Months Ended,Automotive,Automotive,675
10-Q,2025-08-27,"Jul. 27, 2025",3 Months Ended,OEM and Other,OEMAndOther,173
10-Q,2025-08-27,"Jul. 28, 2024",3 Months Ended,OEM and Other,OEMAndOther,88
10-Q,2025-08-27,"Jul. 27, 2025",6 Months Ended,OEM and Other,OEMAndOther,284
10-Q,2025-08-27,"Jul. 28, 2024",6 Months Ended,OEM and Other,OEMAndOther,166
10-Q,2025-11-19,"Oct. 26, 2025",3 Months Ended,Total,Total,57006
10-Q,2025-11-19,"Oct. 27, 2024",3 Months Ended,Total,Total,35082
10-Q,2025-11-19,"Oct. 26, 2025",9 Months Ended,Total,Total,147811
10-Q,2025-11-19,"Oct. 27, 2024",9 Months Ended,Total,Total,91166
10-Q,2025-11-19,"Oct. 26, 2025",3 Months Ended,Data Center,DataCenter,51215
10-Q,2025-11-19,"Oct. 27, 2024",3 Months Ended,Data Center,DataCenter,30771
10-Q,2025-11-19,"Oct. 26, 2025",9 Months Ended,Data Center,DataCenter,131423
10-Q,2025-11-19,"Oct. 27, 2024",9 Months Ended,Data Center,DataCenter,79606
10-Q,2025-11-19,"Oct. 26, 2025",3 Months Ended,Compute,Compute,43028
10-Q,2025-11-19,"Oct. 27, 2024",3 Months Ended,Compute,Compute,27644
10-Q,2025-11-19,"Oct. 26, 2025",9 Months Ended,Compute,Compute,111027
10-Q,2025-11-19,"Oct. 27, 2024",9 Months Ended,Compute,Compute,69640
10-Q,2025-11-19,"Oct. 26, 2025",3 Months Ended,Networking,Networking,8187
10-Q,2025-11-19,"Oct. 27, 2024",3 Months Ended,Networking,Networking,3127
10-Q,2025-11-19,"Oct. 26, 2025",9 Months Ended,Networking,Networking,20396
10-Q,2025-11-19,"Oct. 27, 2024",9 Months Ended,Networking,Networking,9966
10-Q,2025-11-19,"Oct. 26, 2025",3 Months Ended,Gaming,Gaming,4265
10-Q,2025-11-19,"Oct. 27, 2024",3 Months Ended,Gaming,Gaming,3279
10-Q,2025-11-19,"Oct. 26, 2025",9 Months Ended,Gaming,Gaming,12315
10-Q,2025-11-19,"Oct. 27, 2024",9 Months Ended,Gaming,Gaming,8806
10-Q,2025-11-19,"Oct. 26, 2025",3 Months Ended,Professional Visualization,ProfessionalVisualization,760
10-Q,2025-11-19,"Oct. 27, 2024",3 Months Ended,Professional Visualization,ProfessionalVisualization,486
10-Q,2025-11-19,"Oct. 26, 2025",9 Months Ended,Professional Visualization,ProfessionalVisualization,1870
10-Q,2025-11-19,"Oct. 27, 2024",9 Months Ended,Professional Visualization,ProfessionalVisualization,1367
10-Q,2025-11-19,"Oct. 26, 2025",3 Months Ended,Automotive,Automotive,592
10-Q,2025-11-19,"Oct. 27, 2024",3 Months Ended,Automotive,Automotive,449
10-Q,2025-11-19,"Oct. 26, 2025",9 Months Ended,Automotive,Automotive,1745
10-Q,2025-11-19,"Oct. 27, 2024",9 Months Ended,Automotive,Automotive,1124
10-Q,2025-11-19,"Oct. 26, 2025",3 Months Ended,OEM and Other,OEMAndOther,174
10-Q,2025-11-19,"Oct. 27, 2024",3 Months Ended,OEM and Other,OEMAndOther,97
10-Q,2025-11-19,"Oct. 26, 2025",9 Months Ended,OEM and Other,OEMAndOther,458
10-Q,2025-11-19,"Oct. 27, 2024",9 Months Ended,OEM and Other,OEMAndOther,263
10-K,2026-02-25,"Jan. 25, 2026",12 Months Ended,Total,Total,215938
10-K,2026-02-25,"Jan. 26, 2025",12 Months Ended,Total,Total,130497
10-K,2026-02-25,"Jan. 28, 2024",12 Months Ended,Total,Total,60922
10-K,2026-02-25,"Jan. 25, 2026",12 Months Ended,Data Center,DataCenter,193737
10-K,2026-02-25,"Jan. 26, 2025",12 Months Ended,Data Center,DataCenter,115186
10-K,2026-02-25,"Jan. 28, 2024",12 Months Ended,Data Center,DataCenter,47525
10-K,2026-02-25,"Jan. 25, 2026",12 Months Ended,Compute,Compute,162361
10-K,2026-02-25,"Jan. 26, 2025",12 Months Ended,Compute,Compute,102196
10-K,2026-02-25,"Jan. 28, 2024",12 Months Ended,Compute,Compute,38950
10-K,2026-02-25,"Jan. 25, 2026",12 Months Ended,Networking,Networking,31376
10-K,2026-02-25,"Jan. 26, 2025",12 Months Ended,Networking,Networking,12990
10-K,2026-02-25,"Jan. 28, 2024",12 Months Ended,Networking,Networking,8575
10-K,2026-02-25,"Jan. 25, 2026",12 Months Ended,Gaming,Gaming,16042
10-K,2026-02-25,"Jan. 26, 2025",12 Months Ended,Gaming,Gaming,11350
10-K,2026-02-25,"Jan. 28, 2024",12 Months Ended,Gaming,Gaming,10447
10-K,2026-02-25,"Jan. 25, 2026",12 Months Ended,Professional Visualization,ProfessionalVisualization,3191
10-K,2026-02-25,"Jan. 26, 2025",12 Months Ended,Professional Visualization,ProfessionalVisualization,1878
10-K,2026-02-25,"Jan. 28, 2024",12 Months Ended,Professional Visualization,ProfessionalVisualization,1553
10-K,2026-02-25,"Jan. 25, 2026",12 Months Ended,Automotive,Automotive,2349
10-K,2026-02-25,"Jan. 26, 2025",12 Months Ended,Automotive,Automotive,1694
10-K,2026-02-25,"Jan. 28, 2024",12 Months Ended,Automotive,Automotive,1091
10-K,2026-02-25,"Jan. 25, 2026",12 Months Ended,OEM and Other,OEMAndOther,619
10-K,2026-02-25,"Jan. 26, 2025",12 Months Ended,OEM and Other,OEMAndOther,389
10-K,2026-02-25,"Jan. 28, 2024",12 Months Ended,OEM and Other,OEMAndOther,306
10-Q,2026-05-20,"Apr. 26, 2026",3 Months Ended,Total,Total,81615
10-Q,2026-05-20,"Apr. 27, 2025",3 Months Ended,Total,Total,44062
10-Q,2026-05-20,"Apr. 26, 2026",3 Months Ended,Data Center,DataCenter,75246
10-Q,2026-05-20,"Apr. 27, 2025",3 Months Ended,Data Center,DataCenter,39112
10-Q,2026-05-20,"Apr. 26, 2026",3 Months Ended,Hyperscale,Hyperscale,37869
10-Q,2026-05-20,"Apr. 27, 2025",3 Months Ended,Hyperscale,Hyperscale,17599
10-Q,2026-05-20,"Apr. 26, 2026",3 Months Ended,"AI Clouds, Industrial, &amp; Enterprise",AICloudsIndustrialEnterprise,37377
10-Q,2026-05-20,"Apr. 27, 2025",3 Months Ended,"AI Clouds, Industrial, &amp; Enterprise",AICloudsIndustrialEnterprise,21513
10-Q,2026-05-20,"Apr. 26, 2026",3 Months Ended,Edge Computing,EdgeComputing,6369
10-Q,2026-05-20,"Apr. 27, 2025",3 Months Ended,Edge Computing,EdgeComputing,4950
